Dataset,Self-loops,1,2,3,4,5,6,1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,1_mean_str,2_mean_str,3_mean_str,4_mean_str,5_mean_str,6_mean_str,1_std,2_std,3_std,4_std,5_std,6_std,1_std_str,2_std_str,3_std_str,4_std_str,5_std_str,6_std_str,1_expected,2_expected,1_expected_str,2_expected_str,1_diff,1_diff_str,2_diff,2_diff_str
WebKB: Cornell,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.14292945}\pm \num{0.15008567},\num{0.006088204}\pm \num{0.011886508},\num{0.023082197}\pm \num{0.030792281},\num{0.0041129007}\pm \num{0.0052081984},\num{0.010176974}\pm \num{0.021212842},0.0,0.1429294496774673,0.006088204216212,0.0230821967124938,0.0041129007004201,0.0101769743487238,\num{0.0},\num{0.14292945},\num{0.006088204},\num{0.023082197},\num{0.0041129007},\num{0.010176974},0.0,0.1500856727361679,0.0118865082040429,0.0307922810316085,0.0052081984467804,0.0212128423154354,\num{0.0},\num{0.15008567},\num{0.011886508},\num{0.030792281},\num{0.0052081984},\num{0.021212842},0.0,0.0518241301178932,\num{0},\num{0.05182413},0.0,\num{0.0},0.0911053195595741,\num{0.09110531955957413}
WebKB: Texas,\emoji{check-mark},\num{0.3527322404371585}\pm \num{0.13264052422243996},\num{0.1179449233747085}\pm \num{0.11375329122248447},\num{0.03547148078469452}\pm \num{0.04233541382800199},\num{0.01822495571997832}\pm \num{0.018385903516872373},\num{0.008524626742144248}\pm \num{0.006430362827235957},\num{0.007167114842433359}\pm \num{0.00788622212134825},0.3527322404371585,0.1179449233747085,0.0354714807846945,0.0182249557199783,0.0085246267421442,0.0071671148424333,\num{0.3527322404371585},\num{0.1179449233747085},\num{0.03547148078469452},\num{0.01822495571997832},\num{0.008524626742144248},\num{0.007167114842433359},0.1326405242224399,0.1137532912224844,0.0423354138280019,0.0183859035168723,0.0064303628272359,0.0078862221213482,\num{0.13264052422243996},\num{0.11375329122248447},\num{0.04233541382800199},\num{0.018385903516872373},\num{0.006430362827235957},\num{0.00788622212134825},0.2469635663287876,0.0416293618595269,\num{0.2469635663287876},\num{0.04162936185952694},0.1057686741083709,\num{0.1057686741083709},0.0763155615151815,\num{0.07631556151518155}
WebKB: Texas,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.121115334}\pm \num{0.14219332},\num{0.0032399425}\pm \num{0.0059923055},\num{0.0163292}\pm \num{0.021792298},\num{0.0033410026}\pm \num{0.0036193691},\num{0.007907412}\pm \num{0.014967651},0.0,0.1211153343319892,0.0032399424817413,0.0163291990756988,0.0033410026226192,0.0079074120149016,\num{0.0},\num{0.121115334},\num{0.0032399425},\num{0.0163292},\num{0.0033410026},\num{0.007907412},0.0,0.14219331741333,0.0059923054650425,0.0217922981828451,0.0036193691194057,0.0149676511064171,\num{0.0},\num{0.14219332},\num{0.0059923055},\num{0.021792298},\num{0.0036193691},\num{0.014967651},0.0,0.0434376448392868,\num{0},\num{0.043437645},0.0,\num{0.0},0.0776776894927024,\num{0.07767768949270248}
WebKB: Wisconsin,\emoji{check-mark},\num{0.3103389998237438}\pm \num{0.13328838452187236},\num{0.11865200107883739}\pm \num{0.10647525365444252},\num{0.03555723456896294}\pm \num{0.04434079023021657},\num{0.0181733135913184}\pm \num{0.01860935997090211},\num{0.007624759662347671}\pm \num{0.005936986166108036},\num{0.006159625361653168}\pm \num{0.0062891611676565515},0.3103389998237438,0.1186520010788373,0.0355572345689629,0.0181733135913184,0.0076247596623476,0.0061596253616531,\num{0.3103389998237438},\num{0.11865200107883739},\num{0.03555723456896294},\num{0.0181733135913184},\num{0.007624759662347671},\num{0.006159625361653168},0.1332883845218723,0.1064752536544425,0.0443407902302165,0.0186093599709021,0.005936986166108,0.0062891611676565,\num{0.13328838452187236},\num{0.10647525365444252},\num{0.04434079023021657},\num{0.01860935997090211},\num{0.005936986166108036},\num{0.0062891611676565515},0.2180712429851425,0.0452215867959436,\num{0.21807124298514255},\num{0.04522158679594363},0.0922677568386012,\num{0.09226775683860125},0.0734304142828937,\num{0.07343041428289376}
WebKB: Wisconsin,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.12335342}\pm \num{0.12938763},\num{0.0041821375}\pm \num{0.008422742},\num{0.016383175}\pm \num{0.019072773},\num{0.0028436636}\pm \num{0.0029898295},\num{0.006646635}\pm \num{0.011142967},0.0,0.1233534216880798,0.0041821375489234,0.0163831748068332,0.0028436635620892,0.0066466350108385,\num{0.0},\num{0.12335342},\num{0.0041821375},\num{0.016383175},\num{0.0028436636},\num{0.006646635},0.0,0.1293876320123672,0.0084227416664361,0.0190727729350328,0.0029898295179009,0.0111429672688245,\num{0.0},\num{0.12938763},\num{0.008422742},\num{0.019072773},\num{0.0029898295},\num{0.011142967},0.0,0.0473634377121925,\num{0},\num{0.047363438},0.0,\num{0.0},0.0759899839758873,\num{0.0759899839758873}
LastFMAsia,\emoji{check-mark},\num{0.25062682775442036}\pm \num{0.16323281594802463},\num{0.09755182817298726}\pm \num{0.08574471031293157},\num{0.025993335133682505}\pm \num{0.040866427417655705},\num{0.010763609765008484}\pm \num{0.021633415985961774},\num{0.004385577237157609}\pm \num{0.011684726050458477},\num{0.0024011615488678415}\pm \num{0.006640057135665297},0.2506268277544203,0.0975518281729872,0.0259933351336825,0.0107636097650084,0.0043855772371576,0.0024011615488678,\num{0.25062682775442036},\num{0.09755182817298726},\num{0.025993335133682505},\num{0.010763609765008484},\num{0.004385577237157609},\num{0.0024011615488678415},0.1632328159480246,0.0857447103129315,0.0408664274176557,0.0216334159859617,0.0116847260504584,0.0066400571356652,\num{0.16323281594802463},\num{0.08574471031293157},\num{0.040866427417655705},\num{0.021633415985961774},\num{0.011684726050458477},\num{0.006640057135665297},0.1205642388348762,0.0378471509809303,\num{0.12056423883487621},\num{0.03784715098093033},0.1300625889195441,\num{0.13006258891954414},0.0597046771920569,\num{0.059704677192056924}
LastFMAsia,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.09383895}\pm \num{0.100823306},\num{0.0043833344}\pm \num{0.008357784},\num{0.008732138}\pm \num{0.021267174},\num{0.002064541}\pm \num{0.004043692},\num{0.0019328326}\pm \num{0.0054253093},0.0,0.0938389524817466,0.0043833344243466,0.0087321382015943,0.0020645409822463,0.0019328326452523,\num{0.0},\num{0.09383895},\num{0.0043833344},\num{0.008732138},\num{0.002064541},\num{0.0019328326},0.0,0.1008233055472374,0.0083577837795019,0.0212671738117933,0.004043691791594,0.0054253092966973,\num{0.0},\num{0.100823306},\num{0.008357784},\num{0.021267174},\num{0.004043692},\num{0.0054253093},0.0,0.0393359027802944,\num{0},\num{0.039335903},0.0,\num{0.0},0.0545030497014522,\num{0.054503049701452255}
Amazon-Ratings,\emoji{check-mark},\num{0.13717246494243585}\pm \num{0.038715520579149384},\num{0.0935051500191588}\pm \num{0.03470600531090694},\num{0.056583720462568314}\pm \num{0.03354131307760757},\num{0.04995491661717454}\pm \num{0.0317915308355309},\num{0.04207527204067563}\pm \num{0.030686723486300194},\num{0.03768218593035451}\pm \num{0.02910761770620864},0.1371724649424358,0.0935051500191588,0.0565837204625683,0.0499549166171745,0.0420752720406756,0.0376821859303545,\num{0.13717246494243585},\num{0.0935051500191588},\num{0.056583720462568314},\num{0.04995491661717454},\num{0.04207527204067563},\num{0.03768218593035451},0.0387155205791493,0.0347060053109069,0.0335413130776075,0.0317915308355309,0.0306867234863001,0.0291076177062086,\num{0.038715520579149384},\num{0.03470600531090694},\num{0.03354131307760757},\num{0.0317915308355309},\num{0.030686723486300194},\num{0.02910761770620864},0.1163007119893794,0.0752394635893427,\num{0.11630071198937941},\num{0.07523946358934275},0.0208717529530564,\num{0.020871752953056433},0.018265686429816,\num{0.018265686429816047}
Amazon-Ratings,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.101498984}\pm \num{0.04404837},\num{0.041748278}\pm \num{0.031576995},\num{0.049615096}\pm \num{0.03161969},\num{0.03712049}\pm \num{0.029390076},\num{0.035466865}\pm \num{0.027854105},0.0,0.1014989838004112,0.0417482778429985,0.0496150963008403,0.0371204912662506,0.0354668647050857,\num{0.0},\num{0.101498984},\num{0.041748278},\num{0.049615096},\num{0.03712049},\num{0.035466865},0.0,0.0440483689308166,0.031576994806528,0.0316196903586387,0.029390076175332,0.0278541054576635,\num{0.0},\num{0.04404837},\num{0.031576995},\num{0.03161969},\num{0.029390076},\num{0.027854105},0.0,0.0813610255718231,\num{0},\num{0.081361026},0.0,\num{0.0},0.0201379582285881,\num{0.020137958228588104}
Roman-Empire,\emoji{check-mark},\num{0.2708345606677616}\pm \num{0.058951858373089076},\num{0.24624684796798452}\pm \num{0.029787532993463817},\num{0.1735682411644773}\pm \num{0.030147319133717945},\num{0.1492730277368328}\pm \num{0.029802465243873325},\num{0.12624714704000362}\pm \num{0.03085141802009142},\num{0.11200788768026376}\pm \num{0.030852844575872933},0.2708345606677616,0.2462468479679845,0.1735682411644773,0.1492730277368328,0.1262471470400036,0.1120078876802637,\num{0.2708345606677616},\num{0.24624684796798452},\num{0.1735682411644773},\num{0.1492730277368328},\num{0.12624714704000362},\num{0.11200788768026376},0.058951858373089,0.0297875329934638,0.0301473191337179,0.0298024652438733,0.0308514180200914,0.0308528445758729,\num{0.058951858373089076},\num{0.029787532993463817},\num{0.030147319133717945},\num{0.029802465243873325},\num{0.03085141802009142},\num{0.030852844575872933},0.2560215174334415,0.2343058285885061,\num{0.25602151743344154},\num{0.2343058285885061},0.01481304323432,\num{0.014813043234320089},0.0119410193794784,\num{0.011941019379478418}
Roman-Empire,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.31554937}\pm \num{0.05918201},\num{0.05881168}\pm \num{0.043280795},\num{0.17157099}\pm \num{0.04335424},\num{0.06492374}\pm \num{0.039465167},\num{0.11641051}\pm \num{0.037182327},0.0,0.315549373626709,0.05881167948246,0.1715709865093231,0.0649237409234047,0.1164105087518692,\num{0.0},\num{0.31554937},\num{0.05881168},\num{0.17157099},\num{0.06492374},\num{0.11641051},0.0,0.0591820105910301,0.0432807952165603,0.0433542393147945,0.0394651666283607,0.0371823273599147,\num{0.0},\num{0.05918201},\num{0.043280795},\num{0.04335424},\num{0.039465167},\num{0.037182327},0.0,0.3060044646263122,\num{0},\num{0.30600446},0.0,\num{0.0},0.0095449090003967,\num{0.009544909000396729}
Minesweeper,\emoji{check-mark},\num{0.11334444444444448}\pm \num{0.011122766109467821},\num{0.11256025000000001}\pm \num{0.005175395698103137},\num{0.06843759543381403}\pm \num{0.003931543359049382},\num{0.0560096748485016}\pm \num{0.0031095965109960953},\num{0.04490293989489902}\pm \num{0.002714066346919463},\num{0.03815676762262237}\pm \num{0.002450171814153802},0.1133444444444444,0.11256025,0.068437595433814,0.0560096748485016,0.044902939894899,0.0381567676226223,\num{0.11334444444444448},\num{0.11256025000000001},\num{0.06843759543381403},\num{0.0560096748485016},\num{0.04490293989489902},\num{0.03815676762262237},0.0111227661094678,0.0051753956981031,0.0039315433590493,0.003109596510996,0.0027140663469194,0.0024501718141538,\num{0.011122766109467821},\num{0.005175395698103137},\num{0.003931543359049382},\num{0.0031095965109960953},\num{0.002714066346919463},\num{0.002450171814153802},0.1126075379080539,0.1120495521784033,\num{0.11260753790805393},\num{0.11204955217840339},0.0007369065363905,\num{0.0007369065363905525},0.0005106978215966,\num{0.0005106978215966285}
Minesweeper,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.1267052}\pm \num{0.0059290915},\num{0.047669828}\pm \num{0.002691617},\num{0.053629268}\pm \num{0.002950947},\num{0.03731249}\pm \num{0.002370754},\num{0.034369037}\pm \num{0.0022966133},0.0,0.1267051994800567,0.0476698279380798,0.0536292679607868,0.037312489002943,0.0343690365552902,\num{0.0},\num{0.1267052},\num{0.047669828},\num{0.053629268},\num{0.03731249},\num{0.034369037},0.0,0.0059290914796292,0.0026916170027107,0.0029509470332413,0.0023707540240138,0.0022966132964938,\num{0.0},\num{0.0059290915},\num{0.002691617},\num{0.002950947},\num{0.002370754},\num{0.0022966133},0.0,0.1261889636516571,\num{0},\num{0.12618896},0.0,\num{0.0},0.0005162358283996,\num{0.0005162358283996582}
