,model,dataset,num_layers,self_loops,run,train_loss,train_acc,test_acc,time
0,GCN,Planetoid: Cora,1,False,0,0.4145534634590149,0.9372114496768236,0.7785977859778598,0.7174074649810791
1,GCN,Planetoid: CiteSeer,1,False,0,0.3125251233577728,0.9401448722836446,0.6875,0.0920953750610351
2,GCN,Planetoid: PubMed,1,False,0,0.9143499135971068,0.6770635222518068,0.6865330966269338,0.1023628711700439
3,GCN,CitationFull: DBLP,1,False,0,0.6826074719429016,0.7885415931701122,0.7651707592435789,0.107400894165039
4,GCN,Amazon: Computers,1,False,0,0.5789293050765991,0.8640623550153104,0.8648849294729027,0.0897178649902343
5,GCN,Amazon: Photo,1,False,0,0.4179881811141968,0.9168878566688786,0.9110816191108162,0.0946600437164306
6,GCN,Coauthor: CS,1,False,0,0.2476221024990081,0.942656484385654,0.9239160076356696,0.1919562816619873
7,GCN,Wikipedia: Chameleon,1,False,0,1.0374085903167725,0.7140504939626784,0.5846153846153846,0.0848252773284912
8,GCN,Wikipedia: Squirrel,1,False,0,1.30091392993927,0.5541937034366738,0.4384615384615384,0.0949854850769043
9,GCN,Actor,1,False,0,1.5119445323944092,0.3476973684210526,0.2664473684210526,0.0845890045166015
10,GCN,Airports: USA,1,False,0,1.187336564064026,0.7647058823529411,0.5252100840336135,0.0860586166381836
11,GCN,Airports: Europe,1,False,0,1.1739894151687622,0.7460815047021944,0.4375,0.091210126876831
12,GCN,Airports: Brazil,1,False,0,1.1133962869644165,0.8095238095238095,0.5,0.0812597274780273
13,GCN,Twitch: DE,1,False,0,0.596515953540802,0.6775467228217952,0.6505263157894737,0.0967791080474853
14,GCN,Twitch: EN,1,False,0,0.6550771594047546,0.6070864760568321,0.5859649122807018,0.0880603790283203
15,GCN,Twitch: RU,1,False,0,0.5343215465545654,0.75769669327252,0.74230330672748,0.0901229381561279
16,GCN,WebKB: Cornell,1,False,0,0.3297941088676452,0.8835616438356164,0.6216216216216216,0.0808873176574707
17,GCN,WebKB: Texas,1,False,0,0.1459487676620483,0.9726027397260274,0.7837837837837838,0.0798976421356201
18,GCN,WebKB: Wisconsin,1,False,0,0.2096866369247436,0.945273631840796,0.7,0.081691026687622
19,GCN,LastFMAsia,1,False,0,0.8721571564674377,0.7953762911952779,0.7501639344262295,0.0982110500335693
20,GCN,Amazon-Ratings,1,False,0,1.3835654258728027,0.3858834337041951,0.3854634544712127,0.0991678237915039
21,GCN,Roman-Empire,1,False,0,2.1731960773468018,0.3232763375620519,0.3219329214474845,0.1025056838989257
22,GCN,Minesweeper,1,False,0,0.4815347790718078,0.803625,0.7855,0.0908923149108886
23,GCN,Planetoid: Cora,1,False,1,0.4142798483371734,0.935826408125577,0.8044280442804428,0.0875575542449951
24,GCN,Planetoid: CiteSeer,1,False,1,0.3133620917797088,0.9424323293938238,0.6920731707317073,0.0872581005096435
25,GCN,Planetoid: PubMed,1,False,1,0.9132890105247498,0.6800431089134018,0.6806999746386001,0.0918207168579101
26,GCN,CitationFull: DBLP,1,False,1,0.6824341416358948,0.786636562477951,0.7722269263336156,0.0964787006378173
27,GCN,Amazon: Computers,1,False,1,0.5762694478034973,0.8629488725990535,0.8619153674832962,0.0928523540496826
28,GCN,Amazon: Photo,1,False,1,0.4169613718986511,0.9125746516257464,0.927007299270073,0.0838904380798339
29,GCN,Coauthor: CS,1,False,1,0.2442949712276458,0.9438156279830902,0.9187346604854104,0.1884112358093261
30,GCN,Wikipedia: Chameleon,1,False,1,1.0423868894577026,0.7069154774972558,0.6043956043956044,0.1054465770721435
31,GCN,Wikipedia: Squirrel,1,False,1,1.2909462451934814,0.5539533765921654,0.4153846153846154,0.1074156761169433
32,GCN,Actor,1,False,1,1.5144238471984863,0.3518092105263158,0.2526315789473684,0.0840990543365478
33,GCN,Airports: USA,1,False,1,1.193202257156372,0.7657563025210085,0.5714285714285714,0.0833508968353271
34,GCN,Airports: Europe,1,False,1,1.169916749000549,0.7115987460815048,0.5125,0.0872426033020019
35,GCN,Airports: Brazil,1,False,1,1.1220775842666626,0.8095238095238095,0.3846153846153846,0.0893645286560058
36,GCN,Twitch: DE,1,False,1,0.5993824005126953,0.6738615425111871,0.6710526315789473,0.0940759181976318
37,GCN,Twitch: EN,1,False,1,0.6531326770782471,0.6125241185756884,0.5810526315789474,0.1013181209564209
38,GCN,Twitch: RU,1,False,1,0.5377097129821777,0.7545610034207526,0.7605473204104903,0.0895423889160156
39,GCN,WebKB: Cornell,1,False,1,0.3714697957038879,0.8561643835616438,0.6486486486486487,0.0876698493957519
40,GCN,WebKB: Texas,1,False,1,0.1314437091350555,0.9657534246575342,0.6756756756756757,0.0944986343383789
41,GCN,WebKB: Wisconsin,1,False,1,0.1844597607851028,0.9601990049751244,0.52,0.0854010581970214
42,GCN,LastFMAsia,1,False,1,0.8617212176322937,0.7978357107722578,0.7514754098360655,0.0855975151062011
43,GCN,Amazon-Ratings,1,False,1,1.3863155841827393,0.3867000102072063,0.388525928950592,0.0997447967529296
44,GCN,Roman-Empire,1,False,1,2.168850898742676,0.3285714285714285,0.3153133274492498,0.1032216548919677
45,GCN,Minesweeper,1,False,1,0.4704562723636627,0.800375,0.8015,0.0850026607513427
46,GCN,Planetoid: Cora,1,False,2,0.4176474511623382,0.9293628808864266,0.8154981549815498,0.0830552577972412
47,GCN,Planetoid: CiteSeer,1,False,2,0.3187749683856964,0.939763629431948,0.7012195121951219,0.0867567062377929
48,GCN,Planetoid: PubMed,1,False,2,0.9140027165412904,0.6730062127551667,0.6867867106264266,0.098376989364624
